Date,AMD,OXY,XLF,BABA,F,BAC,CCL,AMC,DAL,FB,AMZN,GLD,TSLA,GOOG,USO,UNH,MMM,AAL,MULN,QQQ,AAPL,XLE,FXI,JPM,V
2019-09-01,28.99,41.310085,26.547329,167.229996,8.7719,27.404728,42.711048,10.209696,56.783859,178.080002,1735.910034,138.869995,48.174,1219,90.720001,208.426926,150.845322,26.78388,4.57,186.061569,54.937809,50.526684,37.617199,109.248581,169.354324
2019-10-01,33.93,38.28754,27.349735,176.669998,8.22605,29.571272,41.909786,9.09192,54.299568,191.649994,1776.660034,142.429993,62.984001,1260.109985,90.400002,243.501984,151.386658,29.852556,4.13,194.602859,61.018574,49.92078,38.893166,115.960007,176.098572
2019-11-01,39.150002,36.462967,28.731516,200,8.818524,31.509901,44.04974,7.937237,56.917168,201.639999,1800.800049,137.860001,65.987999,1304.959961,92.959999,269.683044,155.772568,28.541666,3.92,202.522049,65.554008,50.721786,38.694679,123.289169,181.661316
2019-12-01,45.860001,38.958755,29.331879,212.100006,9.052128,33.30669,50.243595,7.195854,58.079147,205.25,1847.839966,142.899994,83.666,1337.02002,102.480003,283.279449,163.275696,28.574404,3.21,209.937668,72.245934,51.712284,41.237144,130.438004,185.308853
2020-01-01,47,38.326313,28.695799,206.589996,8.58492,31.216026,43.027809,6.480244,55.357929,201.910004,2008.719971,149.330002,130.113998,1434.22998,86.720001,263.54245,146.838913,26.741179,3.2,216.785431,76.147949,47.866711,38.268368,123.850586,196.226227
2020-02-01,45.48,31.591221,25.468002,208,6.889708,27.098892,33.073982,6.221829,45.813801,192.470001,1883.75,148.380005,133.598007,1339.329956,75.599998,246.624283,138.120758,18.979858,3.03,203.653824,67.254036,40.548759,39.154297,109.342804,179.25351
2020-03-01,45.48,11.17368,19.941471,194.479996,4.781219,20.186298,13.17,3.140732,28.530001,166.800003,1949.719971,148.050003,104.800003,1162.810059,33.68,241.226715,127.483307,12.19,1.85,188.414398,62.710781,26.029316,36.149837,84.782806,159.128265
2020-04-01,52.389999,16.50292,22.013441,202.669998,5.038594,23.013573,15.9,4.92,25.91,204.710007,2474,158.800003,156.376007,1348.660034,19.120001,284.133331,141.874329,12.01,2.2,217.08876,72.454391,34.798599,37.160954,90.178864,176.510696
2020-05-01,53.799999,12.874265,22.612314,207.389999,5.652332,23.080561,15.74,5.13,25.209999,225.089996,2442.370117,162.910004,167,1428.920044,25.879999,296.160492,146.095444,10.5,2.16,231.418533,78.407593,35.494564,37.603912,92.590775,192.826508
2020-06-01,52.610001,18.192974,22.351515,215.699997,6.018595,22.7265,16.42,4.29,28.049999,227.070007,2758.820068,167.369995,215.962006,1413.609985,28.059999,286.542694,147.120056,13.07,8.71,245.540054,90.207321,34.661236,38.229847,89.498375,191.101532
2020-07-01,77.43,15.65694,23.359253,251.020004,6.543243,23.973841,13.88,4.04,24.969999,253.669998,3164.679932,185.429993,286.152008,1482.959961,29.07,295.416321,141.91394,11.12,14.68,264.037109,105.103409,33.417671,40.169598,91.953255,188.361176
2020-08-01,90.82,12.672771,24.360502,287.029999,6.751122,24.802521,16.48,5.88,30.85,293.200012,3450.959961,184.830002,498.320007,1634.180054,30.58,304.948761,153.75032,13.05,6.68,292.935242,127.635452,33.06522,42.684444,96.260056,209.720001
2020-09-01,81.989998,9.957179,23.398134,293.980011,6.592737,23.212616,15.18,4.71,30.58,261.899994,3148.72998,177.119995,429.01001,1469.599976,28.290001,304.187744,152.446884,12.29,8.99,276.007599,114.755981,27.778496,40.781315,92.493805,198.127808
2020-10-01,75.290001,9.090717,23.321569,304.690002,7.651931,22.995903,13.71,2.36,30.639999,263.109985,3036.149902,176.199997,388.040009,1621.01001,25.25,298.94574,152.237518,11.28,5.88,267.603424,107.869247,27.075916,42.820381,94.194389,180.036011
2020-11-01,92.660004,15.692191,27.250853,263.359985,8.988297,27.3234,19.98,4.27,40.25,276.970001,3168.040039,166.669998,567.599976,1760.73999,30.969999,329.51236,164.390976,14.13,10.24,297.643982,117.966507,34.655663,45.636234,114.307106,208.41217
2020-12-01,91.709999,17.235523,28.814745,232.729996,8.701225,29.409521,21.66,2.12,40.209999,273.160004,3256.929932,178.360001,705.669983,1751.880005,33.009998,343.561249,167.790573,15.77,13.95,311.670807,131.709198,35.730408,45.082775,123.218559,217.041473
